                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.7721,                 1.1764,                 1.1906,                0.70432,                0.59299,                0.67067,                 0.3451,                 1.6524,                  1.047,                 1.1211,               0.007723,               0.007723,               0.007723
                     71,                 1.7659,                 1.1671,                 1.1885,                0.71603,                0.58625,                0.65916,                0.34577,                 1.6428,                 1.0381,                 1.1176,                0.00769,                0.00769,                0.00769
                     72,                 1.7597,                 1.1658,                 1.1932,                0.72761,                 0.5964,                0.67696,                0.35709,                 1.6146,                0.99527,                 1.1161,               0.007657,               0.007657,               0.007657
                     73,                 1.7371,                   1.14,                  1.176,                0.76719,                0.58805,                0.68981,                 0.3638,                 1.6096,                 1.0021,                 1.1025,               0.007624,               0.007624,               0.007624
                     74,                 1.7172,                 1.1293,                 1.1713,                0.73336,                0.62026,                0.68521,                0.36646,                   1.59,                0.98481,                 1.0997,               0.007591,               0.007591,               0.007591
                     75,                 1.7224,                 1.1142,                 1.1707,                0.74657,                0.61366,                0.69478,                0.37126,                 1.5811,                0.97936,                 1.0953,               0.007558,               0.007558,               0.007558
                     76,                  1.705,                 1.1191,                 1.1648,                0.75206,                0.59928,                0.68962,                0.37059,                 1.5874,                0.97615,                 1.0956,               0.007525,               0.007525,               0.007525
                     77,                  1.701,                 1.1049,                 1.1645,                 0.7343,                0.62174,                0.69621,                0.36965,                 1.5759,                0.97194,                 1.0928,               0.007492,               0.007492,               0.007492
                     78,                 1.6908,                 1.0986,                  1.159,                 0.7509,                0.61051,                0.69752,                0.37674,                 1.5607,                0.97133,                 1.0891,               0.007459,               0.007459,               0.007459
                     79,                 1.7041,                 1.1124,                 1.1623,                0.75621,                0.62399,                0.70322,                0.37993,                 1.5619,                0.95626,                 1.0918,               0.007426,               0.007426,               0.007426
                     80,                  1.694,                 1.0988,                 1.1556,                0.78276,                0.62489,                0.71612,                0.38555,                 1.5593,                0.93294,                  1.086,               0.007393,               0.007393,               0.007393
                     81,                 1.6915,                 1.0989,                 1.1563,                0.76234,                0.63432,                0.71538,                0.39354,                 1.5261,                0.92325,                 1.0776,                0.00736,                0.00736,                0.00736
                     82,                 1.6892,                 1.0941,                 1.1532,                0.75375,                0.62624,                0.71196,                0.38811,                  1.534,                0.93731,                 1.0786,               0.007327,               0.007327,               0.007327
                     83,                 1.6718,                 1.0817,                 1.1493,                0.75546,                0.64061,                0.72262,                0.39962,                 1.5198,                0.91767,                  1.072,               0.007294,               0.007294,               0.007294
                     84,                 1.6626,                 1.0667,                 1.1415,                0.76192,                0.65049,                0.72669,                0.40123,                 1.5175,                0.91467,                  1.066,               0.007261,               0.007261,               0.007261
                     85,                 1.6603,                 1.0694,                 1.1387,                0.78261,                0.60692,                0.71429,                0.39736,                 1.5222,                0.91862,                 1.0708,               0.007228,               0.007228,               0.007228
                     86,                 1.6421,                 1.0505,                 1.1355,                0.76427,                0.64061,                0.72681,                 0.4017,                 1.5055,                 0.9037,                 1.0704,               0.007195,               0.007195,               0.007195
                     87,                 1.6434,                 1.0597,                 1.1359,                0.78317,                 0.6451,                0.73268,                 0.4069,                 1.5058,                0.88384,                 1.0681,               0.007162,               0.007162,               0.007162
                     88,                 1.6432,                 1.0531,                 1.1358,                0.77872,                 0.6451,                 0.7313,                0.40894,                  1.505,                0.88769,                  1.062,               0.007129,               0.007129,               0.007129
                     89,                 1.6234,                  1.044,                 1.1332,                0.79025,                0.64196,                0.73704,                0.41095,                 1.4958,                0.88548,                   1.06,               0.007096,               0.007096,               0.007096
                     90,                 1.6338,                 1.0482,                 1.1359,                0.78346,                0.64366,                0.73444,                0.41056,                 1.4937,                0.88469,                 1.0635,               0.007063,               0.007063,               0.007063
                     91,                 1.6172,                 1.0336,                  1.122,                0.79718,                0.65229,                0.74937,                0.42019,                 1.4676,                0.87129,                  1.057,                0.00703,                0.00703,                0.00703
                     92,                 1.5989,                 1.0171,                 1.1193,                0.79756,                0.65839,                0.75398,                0.42332,                 1.4626,                0.85806,                 1.0535,               0.006997,               0.006997,               0.006997
